Keyword	Category	Priority	Active	Synonyms
Carbon Credit	Carbon Markets	High	Yes	Carbon Credits, Carbon Offset
Carbon Offset	Carbon Markets	High	Yes	Carbon Offsetting, Offset
Carbon Trading	Carbon Markets	High	Yes	Carbon Market, Emissions Trading
Carbon Footprint	Greenhouse Gases	High	Yes	Carbon Emissions, Emissions Footprint
Carbon	General	Medium	Yes	CO2, Carbon Dioxide
Carbon Neutral	Climate Action	High	Yes	Carbon Neutrality, Net Zero Carbon
Net Zero	Climate Action	High	Yes	Net Zero Emissions, Net-Zero
Carbon Sequestration	Climate Action	High	Yes	Carbon Capture, Carbon Storage
Scope 1	Greenhouse Gases	High	Yes	Scope 1 Emissions, Direct Emissions
Scope 2	Greenhouse Gases	High	Yes	Scope 2 Emissions, Indirect Emissions
Scope 3	Greenhouse Gases	High	Yes	Scope 3 Emissions, Value Chain Emissions
GHG	Greenhouse Gases	High	Yes	Greenhouse Gas, Greenhouse Gases
Green House Gas	Greenhouse Gases	High	Yes	GHG, Greenhouse Gases
Green House Gases	Greenhouse Gases	High	Yes	GHG, Greenhouse Gas
ESG	ESG Disclosure	High	Yes	Environmental Social Governance
ESG Disclosure	ESG Disclosure	High	Yes	ESG Reporting, ESG Report
Climate Change	Climate Action	High	Yes	Global Warming, Climate Crisis
Green Finance	Green Finance	High	Yes	Sustainable Finance, Climate Finance
Sustainable Finance	Green Finance	High	Yes	Green Finance, ESG Finance
BRSR	SEBI Regulations	High	Yes	Business Responsibility Sustainability Report
Assurance	ESG Disclosure	Medium	Yes	ESG Assurance, Third Party Verification
Assessment	ESG Disclosure	Medium	Yes	ESG Assessment, Sustainability Assessment
Sustainab	General	Medium	Yes	Sustainability, Sustainable
Sustainability	General	Medium	Yes	Sustainable Development, ESG
CCTS	Carbon Markets	Medium	Yes	Carbon Capture Transport Storage
Carbon Market	Carbon Markets	High	Yes	Carbon Trading, Emissions Market
Carbon Border	CBAM	High	Yes	CBAM, Carbon Border Tax
Carbon Tax	CBAM	High	Yes	Carbon Levy, Carbon Pricing
Carbon Price	Carbon Markets	High	Yes	Carbon Pricing, ETS Price
Climate Risk	Climate Action	High	Yes	Climate-related Risk, Physical Risk
Climate Action	Climate Action	High	Yes	Climate Mitigation, Climate Response
Climate Finance	Green Finance	High	Yes	Climate Funding, Green Finance
Climate Policy	Climate Action	High	Yes	Climate Regulation, Climate Law
Climate Tech	Renewable Energy	Medium	Yes	Climate Technology, CleanTech
Carbon Removal	Climate Action	High	Yes	CDR, Carbon Dioxide Removal
Decarbonisation	Climate Action	High	Yes	Decarbonization, Carbon Reduction
Emissions Reduction	Greenhouse Gases	High	Yes	Emission Reduction, Reducing Emissions
Paris Agreement	Climate Action	High	Yes	Paris Accord, COP21
COP	Climate Action	High	Yes	Conference of Parties, Climate Summit
Global Warming	Climate Action	High	Yes	Climate Change, Temperature Rise
Clean Energy Transition	Renewable Energy	High	Yes	Energy Transition, Renewable Transition
ESG Reporting	ESG Disclosure	High	Yes	Sustainability Reporting, ESG Disclosure
ESG Investing	Green Finance	Medium	Yes	ESG Investment, Sustainable Investing
ESG Rating	ESG Rating	High	Yes	ESG Score, ESG Ranking
ESG Framework	ESG Disclosure	High	Yes	ESG Standard, Sustainability Framework
ESG Score	ESG Rating	High	Yes	ESG Rating, ESG Metrics
BRSR Core	SEBI Regulations	High	Yes	BRSR Assurance
TCFD	ESG Disclosure	High	Yes	Task Force Climate-related Financial Disclosures
GRI	ESG Disclosure	High	Yes	Global Reporting Initiative
CSRD	ESG Disclosure	High	Yes	Corporate Sustainability Reporting Directive
ISSB	ESG Disclosure	High	Yes	International Sustainability Standards Board
SASB	ESG Disclosure	High	Yes	Sustainability Accounting Standards Board
Integrated Reporting	ESG Disclosure	Medium	Yes	IR, Integrated Report
Double Materiality	ESG Disclosure	High	Yes	Materiality Assessment
LODR	SEBI Regulations	High	Yes	Listing Obligations Disclosure Requirements
Renewable Energy	Renewable Energy	High	Yes	Clean Energy, Green Energy
Solar	Renewable Energy	Medium	Yes	Solar Energy, Solar Power
Wind Energy	Renewable Energy	Medium	Yes	Wind Power, Wind Farm
Green Hydrogen	Renewable Energy	High	Yes	H2, Hydrogen Energy
Energy Transition	Renewable Energy	High	Yes	Clean Energy Transition
Clean Tech	Renewable Energy	Medium	Yes	CleanTech, Green Technology
Battery Storage	Renewable Energy	Medium	Yes	Energy Storage, BESS
EV	Renewable Energy	Medium	Yes	Electric Vehicle, Electric Car
Electric Vehicle	Renewable Energy	Medium	Yes	EV, Electric Car
Ammonia	Renewable Energy	Low	Yes	Green Ammonia, NH3
Green Bond	Green Bonds	High	Yes	Climate Bond, Sustainability Bond
Sustainability Bond	Green Bonds	High	Yes	Green Bond, ESG Bond
Transition Finance	Green Finance	High	Yes	Climate Transition Finance
Blended Finance	Green Finance	Medium	Yes	Impact Investing
Impact Investing	Green Finance	High	Yes	ESG Investing, Impact Fund
ESG Fund	Green Finance	Medium	Yes	Sustainability Fund, ESG Investment
Taxonomy	ESG Disclosure	High	Yes	Green Taxonomy, Sustainable Taxonomy
Greenwashing	ESG Disclosure	High	Yes	ESG Washing
Carbon Credit Market	Carbon Markets	High	Yes	Carbon Trading Market
Voluntary Carbon Market	Voluntary Carbon Market	High	Yes	VCM, Voluntary Market
Compliance Carbon	Voluntary Carbon Market	High	Yes	Compliance Market, ETS
India Net Zero	Climate Action	High	Yes	India Net-Zero, India Carbon Neutral
India Renewable	Renewable Energy	High	Yes	India Clean Energy
India ESG	ESG Disclosure	High	Yes	India Sustainability
India Sustainability	General	High	Yes	India ESG
ESG Conference	General	Low	Yes	Sustainability Conference
Carbon Summit	General	Low	Yes	Climate Summit
Sustainability Summit	General	Low	Yes	ESG Summit
ESG Seminar	General	Low	Yes	ESG Event
Climate Conference	General	Low	Yes	COP, Climate Summit
Carbon Forum	General	Low	Yes	Carbon Market Forum
Green Finance Summit	General	Low	Yes	Climate Finance Summit
ESG India	General	Medium	Yes	India ESG
Sustainability Event	General	Low	Yes	ESG Event
CBAM	CBAM	High	Yes	Carbon Border Adjustment Mechanism
Carbon Border Adjustment	CBAM	High	Yes	CBAM, CBA
EU Carbon Tax	CBAM	High	Yes	EU ETS, CBAM
CBAM Reporting	CBAM	High	Yes	CBAM Disclosure
CBAM Certificate	CBAM	High	Yes	CBAM Credits
EU ETS	CBAM	High	Yes	European Emissions Trading System
Carbon Leakage	CBAM	High	Yes	Emission Leakage
CBAM Implementation	CBAM	High	Yes	CBAM Rollout
EU Green Deal	CBAM	High	Yes	European Green Deal
CBAM Transition	CBAM	High	Yes	CBAM Phase-in
Voluntary Carbon Market	Voluntary Carbon Market	High	Yes	VCM
Compliance Carbon Market	Voluntary Carbon Market	High	Yes	Regulated Carbon Market
Article 6	Voluntary Carbon Market	High	Yes	Paris Article 6, A6
Carbon Credits	Carbon Markets	High	Yes	Carbon Offset, Carbon Unit
Carbon Standard	Voluntary Carbon Market	High	Yes	Carbon Methodology
Verra	Voluntary Carbon Market	High	Yes	VCS, Verified Carbon Standard
Gold Standard	Voluntary Carbon Market	High	Yes	GS, Gold Standard VERs
Carbon Registry	Voluntary Carbon Market	Medium	Yes	Carbon Credit Registry
IFRS S1	ESG Disclosure	High	Yes	Sustainability Disclosure Standard
IFRS S2	ESG Disclosure	High	Yes	Climate-related Disclosure
Carbon Offsetting	Carbon Markets	High	Yes	Carbon Offset, Offsetting
ESG Investor	Green Finance	Medium	Yes	ESG Investment, Sustainable Investor
Impact Fund	Green Finance	Medium	Yes	Impact Investment Fund
Climate Fund	Green Finance	Medium	Yes	Climate Investment Fund
Green Investment	Green Finance	Medium	Yes	Sustainable Investment
Sustainable Investment India	Green Finance	Medium	Yes	India Green Investment
ESG Portfolio	Green Finance	Medium	Yes	Sustainable Portfolio
Climate VC	Green Finance	Low	Yes	Climate Venture Capital
Green PE	Green Finance	Low	Yes	Green Private Equity
Plastic Pollution	Plastic & Circular Economy	High	Yes	Plastic Waste
Extended Producer Responsibility	Plastic & Circular Economy	High	Yes	EPR
EPR	Plastic & Circular Economy	High	Yes	Extended Producer Responsibility
Plastic Waste	Plastic & Circular Economy	High	Yes	Plastic Pollution
Global Plastics Treaty	Plastic & Circular Economy	High	Yes	Plastic Treaty
Single Use Plastic	Plastic & Circular Economy	High	Yes	SUP, Disposable Plastic
Circular Economy	Plastic & Circular Economy	High	Yes	Circularity
Plastic Credit	Plastic & Circular Economy	Medium	Yes	Plastic Offset
BRICS Carbon	Carbon Markets	Medium	Yes	BRICS Climate
Global Carbon Market	Carbon Markets	High	Yes	International Carbon Market
International Carbon Trading	Carbon Markets	High	Yes	Global Carbon Trading
Global Sustainability	General	Medium	Yes	International Sustainability
G20 Climate	Climate Action	High	Yes	G20 Summit Climate
Multilateral Carbon	Carbon Markets	Medium	Yes	International Carbon
Global Net Zero	Climate Action	High	Yes	Global Carbon Neutral
ESG KPI	ESG Rating	Medium	Yes	ESG Metrics, ESG Indicators
Materiality Matrix	ESG Disclosure	Medium	Yes	Materiality Assessment
ESG Maturity	ESG Rating	Medium	Yes	ESG Performance
ESG Benchmark	ESG Rating	Medium	Yes	ESG Index
ESG Tech	ESG Rating	Low	Yes	ESG Technology
ESG SaaS	ESG Rating	Low	Yes	ESG Software
Joint Crediting Mechanism	Voluntary Carbon Market	Medium	Yes	JCM
JCM	Voluntary Carbon Market	Medium	Yes	Joint Crediting Mechanism
Japan Carbon	Carbon Markets	Low	Yes	JCM, Japanese Carbon
Bilateral Carbon	Carbon Markets	Medium	Yes	Bilateral Credit
Article 6.2	Voluntary Carbon Market	High	Yes	Paris Article 6.2, Cooperative Approaches
Bioenergy	Biomass & Bioenergy	Medium	Yes	Bio Energy, Biomass Energy
Biomass	Biomass & Bioenergy	Medium	Yes	Biomass Fuel
Biomass Energy	Biomass & Bioenergy	Medium	Yes	Bioenergy
Biofuel	Biomass & Bioenergy	Medium	Yes	Bio Fuel
Sustainable Biomass	Biomass & Bioenergy	Medium	Yes	Certified Biomass
Biomass Power	Biomass & Bioenergy	Medium	Yes	Biomass Electricity
Biomass Carbon	Biomass & Bioenergy	Medium	Yes	Biomass Carbon Credit
BECCS	Biomass & Bioenergy	High	Yes	Bioenergy Carbon Capture Storage
Biomass Co-firing	Biomass & Bioenergy	Low	Yes	Co-firing
Waste to Energy	Biomass & Bioenergy	Medium	Yes	WtE, Energy from Waste
Agricultural Residue	Biomass & Bioenergy	Low	Yes	Crop Residue
Biomass Gasification	Biomass & Bioenergy	Low	Yes	Gasification
Biomass Pellets	Biomass & Bioenergy	Low	Yes	Wood Pellets
Forest Biomass	Biomass & Bioenergy	Medium	Yes	Forestry Biomass
Biomass Sustainability Criteria	Biomass & Bioenergy	Medium	Yes	Biomass Standards
